WorkOrderID,Department,Category,Priority,AssignedTeam,CreatedDate,DueDate,CompletedDate,Status,EstimatedHours,ActualHours,Cost
WO-0019,Construction,Installation,High,CON-A,2026-01-13,2026-01-25,2026-02-01,Completed,42,49.8,3028.62
WO-0020,Engineering,Design Review,Critical,ENG-C,2026-03-05,2026-03-10,2026-03-15,Completed,28,39.4,2308.29
WO-0021,Construction,Punch List,Medium,CON-A,2026-06-21,2026-07-05,2026-07-26,Completed,49,41.5,2279.17
WO-0022,QA/QC,Test Package,High,QA-A,2026-04-05,2026-04-16,2026-04-17,Completed,23,33.1,1854.7
WO-0023,Construction,Site Rectification,Critical,CON-A,2026-02-04,2026-02-11,2026-02-12,Completed,27,27.6,1682.84
WO-0024,Procurement,Purchase Review,Medium,PROC-A,2026-01-24,2026-02-04,2026-02-12,Completed,7,8.5,390.71
WO-0025,Procurement,Purchase Review,Medium,PROC-A,2026-01-20,2026-02-04,2026-02-08,Completed,7,7.3,387.29
WO-0026,Planning,Schedule Update,High,PLAN-A,2026-06-24,2026-06-29,,Not Started,17,14.2,861.96
WO-0027,Engineering,Drawing Revision,Critical,ENG-A,2026-04-16,2026-04-21,2026-04-22,Completed,23,22.4,1490.49
WO-0028,Engineering,Design Review,High,ENG-A,2026-02-21,2026-03-01,2026-02-28,Completed,20,16.9,1121.28
WO-0029,QA/QC,Quality Documentation,High,QA-C,2026-03-26,2026-04-03,2026-04-07,Completed,12,9.9,530.89
WO-0030,QA/QC,Test Package,Medium,QA-C,2026-01-30,2026-02-15,2026-02-28,Completed,17,19.5,1073.09
WO-0031,Procurement,Vendor Follow-up,Medium,PROC-A,2026-06-20,2026-07-06,,In Progress,12,9.2,429.13
WO-0032,Construction,Punch List,Medium,CON-C,2026-04-08,2026-04-24,2026-05-01,Completed,10,10.0,548.82
WO-0033,Procurement,Delivery Tracking,Medium,PROC-B,2026-06-22,2026-07-07,2026-07-13,Completed,5,6.0,265.12
WO-0034,Planning,Progress Verification,High,PLAN-A,2026-07-26,2026-07-30,2026-08-07,Completed,19,22.7,1334.73
WO-0035,QA/QC,NCR Review,High,QA-B,2026-05-07,2026-05-13,2026-05-15,Completed,7,9.3,509.28
WO-0036,Construction,Punch List,Critical,CON-A,2026-04-27,2026-05-03,2026-05-02,Completed,58,80.0,4801.4
WO-0037,Construction,Work Front Preparation,High,CON-C,2026-04-25,2026-05-06,2026-05-15,Completed,25,32.6,1903.3
WO-0038,Engineering,Material Submittal,Low,ENG-B,2026-03-02,2026-03-20,2026-03-19,Completed,17,16.2,1057.3
WO-0039,Construction,Installation,Medium,CON-B,2026-05-19,2026-06-01,,Not Started,34,23.7,1447.47
WO-0040,Procurement,Purchase Review,Medium,PROC-B,2026-03-18,2026-03-31,2026-04-04,Completed,10,11.2,529.83
WO-0041,Construction,Work Front Preparation,High,CON-B,2026-02-02,2026-02-06,2026-02-10,Completed,18,24.5,1335.71
WO-0042,QA/QC,Test Package,Medium,QA-B,2026-03-28,2026-04-08,2026-04-15,Completed,19,27.5,1397.1
WO-0043,Construction,Installation,High,CON-A,2026-02-21,2026-02-27,2026-03-04,Completed,52,45.5,2925.35
WO-0044,Construction,Site Rectification,High,CON-A,2026-06-05,2026-06-13,2026-06-07,Completed,29,30.3,1945.66
WO-0045,Engineering,Drawing Revision,Low,ENG-B,2026-06-25,2026-07-08,2026-07-05,Completed,31,26.2,1693.37
WO-0046,Engineering,Material Submittal,High,ENG-A,2026-04-21,2026-05-02,2026-05-03,Completed,19,18.5,1236.24
WO-0047,Construction,Work Front Preparation,Medium,CON-C,2026-06-01,2026-06-13,2026-06-07,Completed,38,36.4,2115.92
WO-0048,Construction,Work Front Preparation,Medium,CON-B,2026-03-25,2026-04-08,2026-04-11,Completed,31,42.5,2519.91
WO-0049,Construction,Punch List,Low,CON-C,2026-04-15,2026-05-10,2026-05-23,Completed,55,61.5,3832.55
WO-0050,Engineering,Drawing Revision,Medium,ENG-A,2026-03-20,2026-04-03,2026-04-02,Completed,29,29.0,1709.39
WO-0051,Construction,Site Rectification,Low,CON-C,2026-07-15,2026-07-30,2026-08-10,Completed,56,66.3,4103.99
WO-0052,Construction,Installation,High,CON-B,2026-02-28,2026-03-08,2026-03-10,Completed,18,20.9,1276.97
WO-0053,Engineering,Material Submittal,Low,ENG-A,2026-05-27,2026-06-15,2026-07-01,Completed,11,10.6,716.07
WO-0054,Engineering,Design Review,Medium,ENG-A,2026-05-28,2026-06-06,,Not Started,13,3.9,258.29
WO-0055,Construction,Punch List,High,CON-B,2026-04-26,2026-05-06,2026-05-04,Completed,13,18.4,1009.27
WO-0056,Engineering,Design Review,Medium,ENG-A,2026-05-22,2026-05-31,2026-05-28,Completed,38,37.6,2216.8
WO-0057,Construction,Work Front Preparation,Low,CON-A,2026-03-09,2026-03-25,2026-04-06,Completed,19,16.1,874.51
WO-0058,QA/QC,Test Package,Medium,QA-B,2026-06-26,2026-07-14,2026-07-10,Completed,19,20.6,1105.02
WO-0059,Planning,Lookahead Review,High,PLAN-A,2026-01-24,2026-01-28,2026-01-29,Completed,5,5.7,312.65
WO-0060,QA/QC,Quality Documentation,High,QA-B,2026-01-24,2026-02-03,2026-02-01,Completed,7,9.5,480.44
WO-0061,Construction,Site Rectification,High,CON-B,2026-07-28,2026-08-02,2026-08-11,Completed,17,19.3,1250.8
WO-0062,Construction,Work Front Preparation,Medium,CON-A,2026-05-13,2026-05-29,2026-06-01,Completed,13,12.1,716.42
WO-0063,Planning,Recovery Planning,High,PLAN-B,2026-02-01,2026-02-08,2026-02-06,Completed,4,5.8,351.17
WO-0064,Construction,Installation,High,CON-A,2026-05-08,2026-05-16,,In Progress,40,26.7,1524.42
WO-0065,Planning,Progress Verification,High,PLAN-B,2026-07-17,2026-07-29,,On Hold,13,11.9,672.55
WO-0066,Construction,Punch List,Medium,CON-B,2026-03-30,2026-04-14,2026-04-17,Completed,30,41.0,2653.3
WO-0067,Engineering,Material Submittal,Medium,ENG-B,2026-01-12,2026-01-30,2026-01-27,Completed,32,42.7,2953.92
WO-0068,Construction,Installation,Low,CON-C,2026-03-26,2026-04-08,,On Hold,10,5.5,333.05
WO-0069,Engineering,Material Submittal,High,ENG-B,2026-03-28,2026-04-02,2026-04-09,Completed,32,45.4,2921.47
WO-0070,Planning,Recovery Planning,High,PLAN-A,2026-06-08,2026-06-16,,Not Started,17,14.4,835.45
WO-0071,Engineering,Drawing Revision,High,ENG-A,2026-01-12,2026-01-20,2026-01-23,Completed,17,21.1,1229.2
WO-0072,Engineering,Material Submittal,High,ENG-A,2026-05-08,2026-05-19,2026-05-27,Completed,24,29.6,2014.61
WO-0073,Construction,Site Rectification,High,CON-A,2026-01-19,2026-01-27,,In Progress,54,49.6,2715.2
WO-0074,QA/QC,Quality Documentation,Low,QA-B,2026-05-27,2026-06-17,2026-06-17,Completed,16,19.9,1100.85
WO-0075,Engineering,Material Submittal,High,ENG-B,2026-07-18,2026-07-27,,On Hold,24,19.5,1263.43
WO-0076,Procurement,Material Request,Critical,PROC-A,2026-03-21,2026-03-28,2026-04-06,Completed,12,12.1,575.81
WO-0077,Engineering,Technical Query,Medium,ENG-B,2026-08-01,2026-08-12,,On Hold,29,17.3,983.11
WO-0078,Procurement,Vendor Follow-up,High,PROC-B,2026-07-25,2026-08-04,2026-08-04,Completed,6,7.4,365.36
WO-0079,Procurement,Delivery Tracking,Low,PROC-A,2026-05-01,2026-05-11,,On Hold,10,7.4,355.96
WO-0080,Construction,Work Front Preparation,Low,CON-A,2026-01-10,2026-01-29,2026-02-04,Completed,44,39.1,2267.35
WO-0081,Construction,Work Front Preparation,Medium,CON-C,2026-02-09,2026-02-26,2026-03-09,Completed,27,29.4,1891.28
WO-0082,Procurement,Material Request,Critical,PROC-B,2026-05-20,2026-05-24,2026-05-30,Completed,6,8.5,441.18
WO-0083,Engineering,Drawing Revision,High,ENG-C,2026-01-06,2026-01-13,2026-01-26,Completed,21,19.6,1151.41
WO-0084,Procurement,Delivery Tracking,High,PROC-A,2026-03-12,2026-03-24,2026-04-02,Completed,6,7.4,321.69
WO-0085,Engineering,Drawing Revision,Medium,ENG-A,2026-02-14,2026-02-21,2026-02-23,Completed,15,19.6,1230.89
WO-0086,Engineering,Drawing Revision,Critical,ENG-A,2026-07-06,2026-07-08,,In Progress,33,9.6,628.96
WO-0087,QA/QC,Inspection,Medium,QA-A,2026-01-17,2026-01-28,2026-01-24,Completed,23,26.3,1367.35
WO-0088,Construction,Installation,High,CON-A,2026-06-17,2026-06-28,2026-06-25,Completed,39,39.1,2196.94
WO-0089,QA/QC,NCR Review,High,QA-B,2026-01-18,2026-01-23,2026-01-29,Completed,15,19.9,1057.98
WO-0090,Construction,Site Rectification,High,CON-B,2026-04-01,2026-04-05,2026-04-14,Completed,32,28.8,1680.56
WO-0091,Procurement,Delivery Tracking,High,PROC-B,2026-01-30,2026-02-06,2026-02-17,Completed,20,16.3,864.08
WO-0092,Procurement,Delivery Tracking,Low,PROC-B,2026-06-29,2026-07-18,2026-07-21,Completed,7,6.2,309.3
WO-0093,Engineering,Drawing Revision,Medium,ENG-B,2026-03-29,2026-04-10,2026-04-10,Completed,13,17.9,1036.81
WO-0094,Procurement,Material Request,High,PROC-B,2026-04-24,2026-05-05,2026-05-17,Completed,19,18.7,941.82
WO-0095,Construction,Site Rectification,Low,CON-B,2026-06-03,2026-06-14,,In Progress,59,24.6,1387.12
WO-0096,Engineering,Material Submittal,Medium,ENG-B,2026-05-17,2026-06-01,,In Progress,12,10.0,617.5
WO-0097,QA/QC,Inspection,High,QA-C,2026-04-20,2026-04-30,2026-05-05,Completed,4,5.7,277.97
WO-0098,Planning,Recovery Planning,High,PLAN-B,2026-01-23,2026-01-30,2026-02-08,Completed,20,25.7,1341.05
WO-0099,Procurement,Material Request,Medium,PROC-A,2026-05-16,2026-05-28,,In Progress,7,2.3,104.15
WO-0100,Construction,Installation,Medium,CON-C,2026-05-07,2026-05-23,,On Hold,46,47.8,2692.29
WO-0101,Planning,Lookahead Review,Medium,PLAN-A,2026-05-01,2026-05-18,2026-05-23,Completed,15,16.9,900.03
WO-0102,QA/QC,Inspection,Medium,QA-B,2026-01-20,2026-02-05,2026-02-14,Completed,21,17.4,995.27
WO-0103,Construction,Punch List,Medium,CON-B,2026-05-09,2026-05-16,,Not Started,31,8.4,507.73
WO-0104,Engineering,Material Submittal,Critical,ENG-C,2026-05-14,2026-05-18,2026-05-19,Completed,29,36.0,2034.51
WO-0105,Construction,Site Rectification,Low,CON-A,2026-05-23,2026-06-14,,Not Started,48,23.2,1383.55
WO-0106,Engineering,Technical Query,Medium,ENG-C,2026-06-28,2026-07-07,2026-07-15,Completed,29,38.8,2556.02
WO-0107,Construction,Installation,High,CON-B,2026-05-11,2026-05-20,2026-05-17,Completed,23,23.5,1456.44
WO-0108,Engineering,Drawing Revision,Medium,ENG-B,2026-07-21,2026-08-05,,On Hold,10,9.4,603.76
WO-0109,Construction,Punch List,Medium,CON-C,2026-07-17,2026-08-04,2026-08-08,Completed,53,63.4,3918.15
WO-0110,Procurement,Vendor Follow-up,Medium,PROC-B,2026-07-27,2026-08-06,,In Progress,17,7.5,354.24
WO-0111,Construction,Punch List,High,CON-C,2026-02-05,2026-02-16,2026-02-10,Completed,16,20.2,1187.42
WO-0112,Engineering,Design Review,High,ENG-B,2026-04-26,2026-05-01,,Not Started,30,16.6,1016.05
WO-0113,QA/QC,Quality Documentation,Critical,QA-B,2026-02-27,2026-03-06,2026-03-08,Completed,8,10.7,585.96
WO-0114,Engineering,Material Submittal,Medium,ENG-A,2026-01-21,2026-02-01,2026-02-07,Completed,35,30.5,1821.76
WO-0115,QA/QC,Inspection,Medium,QA-C,2026-07-23,2026-07-31,,On Hold,4,2.8,154.06
WO-0116,QA/QC,Inspection,High,QA-A,2026-05-27,2026-06-01,,Not Started,6,4.0,223.19
WO-0117,Construction,Installation,Medium,CON-B,2026-01-12,2026-01-24,2026-01-31,Completed,60,73.6,3939.27
WO-0118,Construction,Site Rectification,Low,CON-B,2026-05-20,2026-06-09,2026-06-15,Completed,54,60.0,3271.55
WO-0119,Engineering,Material Submittal,Low,ENG-A,2026-01-12,2026-01-28,2026-01-30,Completed,38,35.1,2129.49
WO-0120,Procurement,Delivery Tracking,Medium,PROC-B,2026-04-22,2026-05-10,2026-05-26,Completed,8,9.0,436.08
WO-0121,Planning,Lookahead Review,High,PLAN-B,2026-01-21,2026-01-27,2026-02-03,Completed,7,7.0,397.54
WO-0122,QA/QC,Quality Documentation,Medium,QA-A,2026-07-06,2026-07-22,,In Progress,5,3.7,188.54
WO-0123,Procurement,Vendor Follow-up,Critical,PROC-A,2026-06-05,2026-06-07,2026-06-14,Completed,14,14.5,771.78
WO-0124,Engineering,Drawing Revision,High,ENG-B,2026-04-06,2026-04-12,2026-04-12,Completed,28,24.5,1612.95
WO-0125,Construction,Work Front Preparation,Critical,CON-A,2026-03-09,2026-03-12,,On Hold,28,29.4,1609.78
WO-0126,Engineering,Design Review,Medium,ENG-C,2026-04-24,2026-05-11,2026-05-13,Completed,12,13.9,830.67
WO-0127,QA/QC,NCR Review,High,QA-C,2026-06-13,2026-06-25,2026-06-27,Completed,10,11.2,570.4
WO-0128,Construction,Work Front Preparation,High,CON-C,2026-02-03,2026-02-11,,In Progress,56,30.8,1768.67
WO-0129,Construction,Punch List,Critical,CON-C,2026-01-19,2026-01-23,2026-01-24,Completed,59,68.3,4077.52
WO-0130,Procurement,Vendor Follow-up,Medium,PROC-A,2026-08-01,2026-08-16,2026-08-16,Completed,13,18.4,895.7
WO-0131,QA/QC,Inspection,Medium,QA-C,2026-05-22,2026-05-31,2026-05-31,Completed,20,24.3,1301.76
WO-0132,Construction,Punch List,High,CON-C,2026-06-04,2026-06-08,2026-06-15,Completed,51,47.8,2844.12
WO-0133,Construction,Installation,Medium,CON-C,2026-05-20,2026-06-06,2026-06-09,Completed,53,56.4,3270.48
WO-0134,Construction,Punch List,Medium,CON-B,2026-04-29,2026-05-11,,On Hold,30,27.9,1803.62
WO-0135,Engineering,Technical Query,Medium,ENG-A,2026-03-23,2026-04-06,2026-04-12,Completed,17,17.8,1142.65
WO-0136,QA/QC,NCR Review,High,QA-C,2026-07-04,2026-07-10,,In Progress,18,8.3,390.64
WO-0137,Planning,Recovery Planning,Critical,PLAN-A,2026-05-30,2026-06-03,2026-06-04,Completed,19,18.7,927.5
WO-0138,Engineering,Drawing Revision,High,ENG-C,2026-04-04,2026-04-08,2026-04-10,Completed,20,21.0,1300.8
WO-0139,Construction,Installation,Low,CON-A,2026-04-11,2026-05-02,2026-05-09,Completed,22,26.2,1501.83
WO-0140,Engineering,Design Review,Low,ENG-B,2026-07-25,2026-08-19,,In Progress,40,39.7,2387.75
WO-0141,QA/QC,Test Package,Medium,QA-C,2026-08-01,2026-08-19,,In Progress,15,4.4,226.89
WO-0142,QA/QC,Inspection,Medium,QA-B,2026-06-17,2026-07-05,2026-07-01,Completed,20,26.9,1304.4
WO-0143,Construction,Installation,Medium,CON-C,2026-01-29,2026-02-05,2026-02-06,Completed,36,45.0,2584.64
WO-0144,Procurement,Purchase Review,High,PROC-A,2026-06-30,2026-07-07,2026-07-08,Completed,18,16.4,866.45
WO-0145,QA/QC,Test Package,High,QA-C,2026-06-24,2026-07-05,,In Progress,12,4.7,272.27
WO-0146,QA/QC,Test Package,High,QA-C,2026-06-30,2026-07-11,2026-07-12,Completed,12,11.8,629.65
WO-0147,Construction,Work Front Preparation,High,CON-A,2026-03-16,2026-03-21,,In Progress,51,31.0,1698.13
WO-0148,Construction,Site Rectification,Low,CON-C,2026-07-09,2026-07-26,,On Hold,24,5.9,339.09
WO-0149,Construction,Installation,High,CON-A,2026-01-02,2026-01-13,2026-01-21,Completed,58,70.8,4516.0
WO-0150,Engineering,Drawing Revision,Medium,ENG-C,2026-01-10,2026-01-23,,On Hold,33,11.8,778.99
WO-0151,Procurement,Delivery Tracking,High,PROC-A,2026-03-18,2026-03-26,,In Progress,20,19.1,852.19
WO-0152,Construction,Site Rectification,Medium,CON-A,2026-03-26,2026-04-13,2026-04-16,Completed,21,17.0,960.53
WO-0153,QA/QC,NCR Review,Medium,QA-C,2026-04-14,2026-04-29,2026-05-01,Completed,7,7.1,352.43
WO-0154,QA/QC,NCR Review,Medium,QA-B,2026-03-26,2026-04-11,2026-04-15,Completed,11,9.2,443.0
WO-0155,QA/QC,Quality Documentation,High,QA-C,2026-07-17,2026-07-22,,In Progress,13,5.0,288.76
WO-0156,Construction,Work Front Preparation,High,CON-C,2026-04-06,2026-04-18,2026-04-28,Completed,52,64.6,3863.25
WO-0157,Procurement,Purchase Review,Medium,PROC-B,2026-01-20,2026-01-27,2026-01-27,Completed,20,17.9,835.3
WO-0158,Construction,Installation,High,CON-C,2026-05-30,2026-06-11,,In Progress,39,21.6,1282.94
WO-0159,Construction,Site Rectification,High,CON-B,2026-03-07,2026-03-14,2026-03-17,Completed,37,53.5,3430.7
WO-0160,Engineering,Material Submittal,Low,ENG-B,2026-02-16,2026-03-02,,In Progress,32,31.3,1907.71
WO-0161,Engineering,Drawing Revision,High,ENG-B,2026-01-31,2026-02-10,2026-02-14,Completed,22,29.5,1950.37
WO-0162,Planning,Recovery Planning,High,PLAN-B,2026-05-17,2026-05-24,2026-05-28,Completed,12,15.6,778.28
WO-0163,Construction,Installation,Medium,CON-A,2026-01-26,2026-02-09,2026-02-22,Completed,35,38.0,2245.32
WO-0164,Procurement,Material Request,Low,PROC-B,2026-03-01,2026-03-21,2026-04-04,Completed,7,7.5,345.79
WO-0165,Construction,Punch List,High,CON-B,2026-05-23,2026-06-01,2026-06-04,Completed,60,68.5,4184.32
WO-0166,QA/QC,Test Package,Medium,QA-C,2026-05-02,2026-05-12,2026-05-19,Completed,18,25.7,1366.61
WO-0167,Engineering,Drawing Revision,Medium,ENG-B,2026-06-15,2026-06-29,2026-06-28,Completed,20,16.7,1017.77
WO-0168,Construction,Installation,High,CON-A,2026-07-25,2026-08-01,2026-08-06,Completed,10,12.8,790.15
WO-0169,Procurement,Vendor Follow-up,High,PROC-A,2026-04-12,2026-04-21,2026-04-29,Completed,20,24.4,1133.55
WO-0170,QA/QC,Quality Documentation,Medium,QA-C,2026-05-01,2026-05-11,2026-05-18,Completed,22,17.8,945.71
WO-0171,Construction,Work Front Preparation,Medium,CON-A,2026-03-26,2026-04-08,2026-04-06,Completed,53,54.0,3344.79
WO-0172,Construction,Work Front Preparation,Medium,CON-C,2026-07-23,2026-08-01,2026-08-13,Completed,21,25.6,1355.51
WO-0173,Engineering,Design Review,Critical,ENG-C,2026-01-13,2026-01-20,2026-01-20,Completed,17,13.7,858.97
WO-0174,QA/QC,Quality Documentation,High,QA-A,2026-01-02,2026-01-06,2026-01-08,Completed,21,27.9,1520.86
WO-0175,Procurement,Vendor Follow-up,Low,PROC-A,2026-05-15,2026-05-29,2026-06-03,Completed,14,13.6,644.52
WO-0176,QA/QC,Quality Documentation,Medium,QA-A,2026-06-28,2026-07-09,,On Hold,24,6.7,342.63
WO-0177,Construction,Installation,High,CON-C,2026-02-13,2026-02-23,2026-03-15,Completed,46,63.6,4065.85
WO-0178,Engineering,Material Submittal,Medium,ENG-A,2026-06-25,2026-07-10,,In Progress,28,10.5,606.55
WO-0179,Procurement,Purchase Review,Critical,PROC-B,2026-02-11,2026-02-18,2026-02-22,Completed,13,13.6,693.76
WO-0180,Procurement,Material Request,Medium,PROC-B,2026-01-14,2026-01-27,2026-02-08,Completed,15,18.2,936.83
WO-0181,QA/QC,NCR Review,Medium,QA-B,2026-04-21,2026-05-08,2026-05-08,Completed,13,17.1,939.78
WO-0182,Engineering,Drawing Revision,Medium,ENG-C,2026-02-09,2026-02-21,2026-02-18,Completed,27,23.4,1333.58
WO-0183,QA/QC,Quality Documentation,Low,QA-A,2026-04-01,2026-04-13,2026-04-17,Completed,17,17.9,855.06
WO-0184,Planning,Progress Verification,Medium,PLAN-A,2026-06-25,2026-07-04,2026-07-06,Completed,19,18.6,988.16
WO-0185,Procurement,Delivery Tracking,Medium,PROC-A,2026-07-04,2026-07-20,2026-07-27,Completed,12,9.7,459.57
WO-0186,Procurement,Purchase Review,High,PROC-B,2026-04-23,2026-04-29,2026-05-03,Completed,9,9.5,442.42
WO-0187,Construction,Work Front Preparation,Critical,CON-A,2026-03-25,2026-03-29,2026-03-31,Completed,46,42.8,2778.79
WO-0188,Engineering,Design Review,Critical,ENG-B,2026-07-01,2026-07-08,2026-07-07,Completed,34,33.9,2008.46
WO-0189,Engineering,Material Submittal,High,ENG-A,2026-04-25,2026-05-05,2026-05-05,Completed,34,39.2,2610.15
WO-0190,QA/QC,Inspection,Low,QA-A,2026-06-18,2026-07-09,,In Progress,24,20.2,1168.53
WO-0191,QA/QC,Inspection,Low,QA-A,2026-05-11,2026-05-28,2026-05-28,Completed,22,31.9,1669.1
WO-0192,QA/QC,Inspection,Low,QA-C,2026-02-06,2026-02-27,2026-02-26,Completed,20,22.3,1165.11
WO-0193,QA/QC,Quality Documentation,Medium,QA-B,2026-01-12,2026-01-19,2026-01-28,Completed,9,10.2,541.76
WO-0194,QA/QC,Quality Documentation,Critical,QA-A,2026-07-24,2026-07-27,,In Progress,17,14.1,802.33
WO-0195,QA/QC,Quality Documentation,Medium,QA-C,2026-02-24,2026-03-07,2026-03-05,Completed,21,19.4,980.27
WO-0196,QA/QC,Test Package,High,QA-B,2026-05-16,2026-05-26,2026-05-22,Completed,7,8.4,471.32
WO-0197,Construction,Site Rectification,Critical,CON-C,2026-01-22,2026-01-25,2026-02-06,Completed,21,21.9,1182.68
WO-0198,QA/QC,NCR Review,Medium,QA-B,2026-02-17,2026-03-06,2026-03-02,Completed,9,8.0,403.19
WO-0199,QA/QC,Inspection,High,QA-A,2026-05-05,2026-05-15,2026-05-14,Completed,19,20.3,1064.23
WO-0200,Construction,Work Front Preparation,Medium,CON-A,2026-05-25,2026-06-04,2026-06-06,Completed,44,51.4,3189.77
WO-0201,Construction,Installation,Medium,CON-B,2026-07-18,2026-08-02,2026-08-14,Completed,23,33.2,1776.43
WO-0202,Procurement,Vendor Follow-up,Medium,PROC-A,2026-04-26,2026-05-08,,On Hold,6,2.4,124.23
WO-0203,Construction,Site Rectification,High,CON-C,2026-06-11,2026-06-17,,In Progress,13,8.5,508.44
WO-0204,Engineering,Technical Query,Medium,ENG-B,2026-05-12,2026-05-21,,On Hold,16,5.0,288.97
WO-0205,QA/QC,NCR Review,High,QA-C,2026-04-11,2026-04-19,2026-04-28,Completed,18,23.4,1202.96
WO-0206,Procurement,Delivery Tracking,Medium,PROC-B,2026-03-25,2026-04-12,,Not Started,14,12.3,583.02
WO-0207,Planning,Progress Verification,Medium,PLAN-B,2026-08-01,2026-08-13,2026-08-16,Completed,19,24.9,1501.95
WO-0208,Procurement,Material Request,Low,PROC-B,2026-01-05,2026-01-18,2026-01-28,Completed,16,14.2,710.91
WO-0209,Engineering,Technical Query,Low,ENG-B,2026-03-06,2026-03-18,2026-03-28,Completed,27,34.3,2267.28
WO-0210,QA/QC,Inspection,High,QA-A,2026-02-24,2026-03-02,2026-03-11,Completed,18,24.0,1394.51
WO-0211,QA/QC,NCR Review,Medium,QA-A,2026-04-09,2026-04-27,2026-04-29,Completed,13,11.6,645.52
WO-0212,Procurement,Vendor Follow-up,High,PROC-A,2026-01-18,2026-01-24,2026-01-27,Completed,9,9.6,484.32
WO-0213,Procurement,Material Request,High,PROC-A,2026-07-12,2026-07-22,,On Hold,13,5.3,265.04
WO-0214,QA/QC,Test Package,High,QA-C,2026-01-07,2026-01-19,2026-01-18,Completed,16,15.9,754.05
WO-0215,Planning,Progress Verification,Medium,PLAN-A,2026-03-03,2026-03-20,2026-04-01,Completed,4,3.5,209.71
WO-0216,Construction,Site Rectification,Medium,CON-A,2026-07-15,2026-07-23,2026-07-26,Completed,26,24.4,1560.92
WO-0217,Planning,Recovery Planning,Medium,PLAN-B,2026-04-19,2026-04-27,2026-04-29,Completed,12,16.8,1029.66
WO-0218,Engineering,Technical Query,Medium,ENG-C,2026-07-15,2026-07-26,,In Progress,23,6.3,388.88
WO-0219,QA/QC,Inspection,Medium,QA-C,2026-06-18,2026-06-26,2026-06-28,Completed,4,3.6,207.73
WO-0220,Construction,Site Rectification,Medium,CON-A,2026-07-11,2026-07-29,2026-08-02,Completed,37,46.7,2781.36
WO-0221,Engineering,Material Submittal,Medium,ENG-A,2026-05-08,2026-05-20,,In Progress,15,9.5,535.81
WO-0222,Procurement,Vendor Follow-up,Low,PROC-B,2026-04-09,2026-04-23,2026-05-02,Completed,16,15.1,691.91
WO-0223,Planning,Lookahead Review,Medium,PLAN-A,2026-05-27,2026-06-04,,In Progress,9,5.7,285.32
WO-0224,QA/QC,Quality Documentation,High,QA-B,2026-03-25,2026-04-05,2026-04-02,Completed,13,15.7,818.08
WO-0225,Construction,Work Front Preparation,Critical,CON-A,2026-07-07,2026-07-12,2026-07-12,Completed,44,45.1,2837.37
WO-0226,Procurement,Delivery Tracking,Low,PROC-B,2026-07-08,2026-07-27,,In Progress,16,4.0,214.91
WO-0227,Construction,Installation,Low,CON-A,2026-05-14,2026-06-06,,In Progress,15,9.4,567.11
WO-0228,QA/QC,Inspection,Medium,QA-A,2026-03-02,2026-03-13,2026-03-13,Completed,14,11.9,584.52
WO-0229,Procurement,Material Request,Medium,PROC-A,2026-04-26,2026-05-08,2026-05-17,Completed,9,9.8,471.31
